comune_istat_val;comune_cat_val;comune_amm_val;comune_descrizione_val;fascia_val;zona_val;linkzona;cod_tip;descr_tipologia;stato;stato_prev_val;compr_min;compr_max;loc_min;loc_max;sup_nl_loc;semestre;comune_istat_zone;comune_cat_zone;comune_amm_zone;comune_descrizione_zone;fascia_zone;zona_descr;zona_zone;cod_tip_prev;descr_tip_prev;stato_prev_zone;microzona
5023091;D6AA;L781;VERONA;C;C1;VR00000472;20;Abitazioni civili;NORMALE;P;1550;2100;6.5;8.5;L;2023_2;5023091;D6AA;L781;VERONA;C;'PONTE CRENCANO. QUINZANO. AVESA. PARONA. PRIMA COLLINA A NORD DELLA CITTA`';C1;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;C;C1;VR00000472;21;Abitazioni di tipo economico;NORMALE;P;1250;1750;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'PONTE CRENCANO. QUINZANO. AVESA. PARONA. PRIMA COLLINA A NORD DELLA CITTA`';C1;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;C;C1;VR00000472;13;Box;NORMALE;P;600;850;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'PONTE CRENCANO. QUINZANO. AVESA. PARONA. PRIMA COLLINA A NORD DELLA CITTA`';C1;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;C;C1;VR00000472;1;Ville e Villini;NORMALE;P;2000;3000;nan;nan; ;2023_2;5023091;D6AA;L781;VERONA;C;'PONTE CRENCANO. QUINZANO. AVESA. PARONA. PRIMA COLLINA A NORD DELLA CITTA`';C1;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;C;C1;VR00000472;5;Negozi;NORMALE;P;1550;2350;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'PONTE CRENCANO. QUINZANO. AVESA. PARONA. PRIMA COLLINA A NORD DELLA CITTA`';C1;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;C;C1;VR00000472;6;Uffici;NORMALE;P;1300;1900;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'PONTE CRENCANO. QUINZANO. AVESA. PARONA. PRIMA COLLINA A NORD DELLA CITTA`';C1;20;Abitazioni civili;N;2.0
5023091;D6AA;L781;VERONA;C;C2;VR00000474;20;Abitazioni civili;NORMALE;P;1300;1700;6.5;8.5;L;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO VENEZIA. BIONDELLA';C2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;C;C2;VR00000474;21;Abitazioni di tipo economico;NORMALE;P;1100;1550;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO VENEZIA. BIONDELLA';C2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;C;C2;VR00000474;13;Box;NORMALE;P;500;750;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO VENEZIA. BIONDELLA';C2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;C;C2;VR00000474;1;Ville e Villini;NORMALE;P;1600;2400;nan;nan; ;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO VENEZIA. BIONDELLA';C2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;C;C2;VR00000474;5;Negozi;NORMALE;P;1400;2100;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO VENEZIA. BIONDELLA';C2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;C;C2;VR00000474;6;Uffici;NORMALE;P;1300;1900;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO VENEZIA. BIONDELLA';C2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;C;C3;VR00000477;20;Abitazioni civili;NORMALE;P;1200;1600;6;8;L;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO MILANO. NAVIGATORI. SAVAL. STADIO. P.TA NUOVA (FUORI MURA)';C3;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;C;C3;VR00000477;21;Abitazioni di tipo economico;NORMALE;P;1050;1450;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO MILANO. NAVIGATORI. SAVAL. STADIO. P.TA NUOVA (FUORI MURA)';C3;20;Abitazioni civili;N;4.0
